Date,Alpine,Ararat,Ballarat,Banyule,Bass Coast,Baw Baw,Bayside,Benalla,Boroondara,Brimbank,Buloke,Campaspe,Cardinia,Casey,Central Goldfields,Colac Otway,Corangamite,Darebin,East Gippsland,Frankston,Gannawarra,Glen Eira,Glenelg,Golden Plains,Greater Bendigo,Greater Dandenong,Greater Geelong,Greater Shepparton,Hepburn,Hindmarsh,Hobsons Bay,Horsham,Hume,Indigo,Kingston,Knox,Latrobe,Loddon,Macedon Ranges,Manningham,Mansfield,Maribyrnong,Maroondah,Melbourne,Melton,Mildura,Mitchell,Moira,Monash,Moonee Valley,Moorabool,Moreland,Mornington Peninsula,Mount Alexander,Moyne,Murrindindi,Nillumbik,Northern Grampians,Port Phillip,Pyrenees,Queenscliffe,South Gippsland,Southern Grampians,Stonnington,Strathbogie,Surf Coast,Swan Hill,Towong,Wangaratta,Warrnambool,Wellington,West Wimmera,Whitehorse,Whittlesea,Wodonga,Wyndham,Yarra,Yarra Ranges,Yarriambiack
12/09,1,7,59,433,11,15,251,3,260,1989,null,9,205,1003,2,131,3,644,5,234,2,216,20,18,105,500,363,50,2,null,473,13,1627,1,299,160,56,4,57,167,10,578,105,886,1121,6,86,12,312,787,40,1024,183,9,1,9,131,3,283,3,2,12,3,259,2,18,5,null,2,13,16,1,203,1200,2,2187,460,252,1
13/09,1,7,59,433,11,15,250,3,259,1991,0,9,205,1013,2,133,3,644,5,234,2,216,20,18,105,503,363,50,2,0,477,14,1631,1,299,160,56,4,58,167,10,578,105,885,1124,6,86,12,312,788,40,1025,183,9,1,9,131,3,283,3,2,12,3,259,2,18,5,0,2,13,16,1,203,1200,2,2194,460,252,1
14/09,1,7,59,433,11,15,250,3,259,1989,0,9,207,1024,2,133,3,645,5,234,2,216,20,18,105,504,363,50,2,0,478,14,1636,1,301,161,56,4,58,168,10,579,105,886,1128,6,86,12,313,786,40,1024,183,9,1,9,132,3,283,3,2,11,3,258,2,18,5,0,2,13,16,1,203,1201,2,2199,460,251,1
15/09,1,7,59,433,11,15,250,3,259,1994,0,9,207,1028,2,133,3,646,5,234,2,217,20,18,105,504,364,51,2,0,478,14,1638,1,302,161,56,4,58,168,10,581,105,885,1131,6,86,12,314,794,40,1029,183,9,1,9,132,3,284,3,2,11,3,258,2,18,5,0,2,13,16,1,203,1203,2,2200,460,251,1
16/09,1,7,59,437,11,15,250,3,259,1995,0,9,206,1032,2,136,3,646,5,233,2,218,20,18,105,503,365,50,2,0,484,14,1641,1,304,161,56,4,58,168,10,583,105,884,1132,6,86,12,314,797,40,1036,183,9,1,9,132,3,284,3,2,11,3,258,2,18,5,0,2,13,16,1,205,1203,2,2199,460,251,1
17/09,1,7,59,437,11,15,250,3,259,2001,0,9,207,1038,2,136,3,648,5,233,2,218,20,18,105,506,364,50,2,0,484,14,1643,1,305,161,57,4,58,168,10,582,105,882,1138,6,86,12,313,796,40,1035,183,9,1,9,132,3,284,3,2,11,3,258,2,18,5,0,2,13,16,1,205,1203,2,2206,460,251,1
18/09,1,7,58,435,11,15,250,3,259,2029,0,9,208,1038,2,136,3,645,5,233,2,219,20,18,105,506,363,50,2,0,487,14,1645,1,305,161,57,4,58,169,10,590,105,886,1134,6,86,12,313,794,40,1035,183,9,1,9,133,3,285,3,2,11,3,255,2,18,5,0,2,13,16,1,205,1201,2,2223,457,250,1
19/09,1,7,58,435,11,15,250,3,260,2031,0,9,207,1034,2,136,3,645,5,233,2,220,20,18,105,508,363,49,2,0,487,14,1644,1,306,161,57,4,58,167,10,592,105,881,1132,6,86,12,312,800,40,1037,183,9,1,9,133,3,286,3,2,11,3,254,2,18,5,0,2,13,15,1,207,1199,2,2225,457,250,1
20/09,1,7,58,435,11,15,250,3,260,2031,0,9,207,1043,2,136,3,647,5,233,2,219,20,18,105,508,363,49,2,0,487,14,1644,1,306,161,57,4,58,168,10,593,105,881,1132,6,86,12,312,800,40,1037,183,9,1,9,133,3,286,3,2,11,3,254,2,18,5,0,2,13,15,1,207,1200,2,2225,456,250,1
21/09,1,7,57,438,11,15,251,3,265,2031,0,9,207,1040,2,136,3,646,5,238,2,220,20,18,102,509,366,49,2,0,488,14,1643,1,301,160,57,4,58,166,10,593,105,879,1131,6,85,12,313,800,39,1036,181,9,1,9,138,3,290,3,2,11,2,250,2,17,5,0,2,13,15,1,207,1197,2,2233,456,251,1
22/09,1,7,57,439,11,15,250,3,265,2037,0,9,207,1040,2,136,3,648,5,238,2,220,20,18,102,510,366,49,2,0,491,14,1644,1,301,160,57,4,58,166,10,595,105,880,1134,6,85,12,314,803,39,1037,181,9,1,9,138,3,290,3,2,11,2,251,2,17,5,0,2,13,15,1,207,1196,2,2232,456,251,1
23/09,1,7,57,439,11,15,250,3,267,2036,0,9,207,1040,2,136,3,648,5,239,2,219,20,18,102,514,366,49,2,0,491,14,1647,1,300,160,57,4,58,168,10,595,105,879,1136,6,85,12,313,805,39,1042,181,9,1,9,138,3,290,3,2,11,2,252,2,17,5,0,2,13,15,1,207,1197,2,2238,456,251,1
